cust_id|quantity|product_id|store_id
c01|1|p03|s01
c02|1|p03|s01
c03|1|p03|s01
c03|1|p04|s01
c03|2|p06|s02
c03|1|p02|s01
c01|1|p02|s01
c03|2|p00|s00
c02|1|p04|s01
c02|4|p05|s02
c02|1|p06|s02
c02|1|p06|s02
c02|2|p05|s02
c03|1|p05|s02
c03|1|p05|s02
c02|1|p02|s01
c01|2|p01|s00
c03|1|p00|s00
c03|3|p06|s02
c01|1|p04|s01
c03|1|p00|s00
c03|5|p06|s02
c03|2|p05|s02
c03|2|p06|s02
c02|2|p05|s02
c02|5|p06|s02
c02|1|p06|s02
c02|2|p06|s02
c03|2|p05|s02
c01|4|p01|s00
c02|2|p06|s02
c01|3|p05|s02
c01|5|p05|s02
c03|4|p06|s02
c01|3|p05|s02
c02|4|p06|s02
c03|4|p06|s02
c03|4|p01|s00
